Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006,SE_T055_007,SE_T055_008,SE_T055_009,SE_T055_010,SE_T055_011,SE_T055_012,SE_T055_013,SE_T055_014,SE_T055_015,SE_T055_016,SE_T055_017,SE_T056_001,SE_T056_002,SE_T056_003,SE_T056_004,SE_T056_005,SE_T056_006,SE_T056_007,SE_T056_008,SE_T056_009,SE_T056_010,SE_T056_011,SE_T056_012,SE_T056_013,SE_T056_014,SE_T056_015,SE_T056_016,SE_T056_017,SE_T056_018,SE_T056_019,SE_T056_020,SE_T056_021,SE_T056_022,SE_T056_023,SE_T056_024,SE_T056_025,SE_T056_026,SE_T056_027,SE_T056_028,SE_T056_029,SE_T056_030,SE_T056_031,SE_T057_001,SE_T057_002,SE_T057_003,SE_T057_004,SE_T057_005,SE_T057_006,SE_T057_007,SE_T057_008,SE_T057_009,SE_T057_010,SE_T057_011,SE_T057_012,SE_T057_013,SE_T057_014,SE_T057_015,SE_T057_016,SE_T057_017,SE_T057_018,SE_T057_019,SE_T057_020,SE_T057_021,SE_T057_022
"Census Tract 9704","Census Tract 9704, Bennington County, Vermont","50003970400","140","00","50","003","16",,"970400",4391,4391,104.2271,42.1291588995779,42.25314,42.12916,0.1239801,4391,4229,61,9,51,0,8,33,4391,4324,4177,60,4,51,0,2,30,67,52,1,5,0,0,6,3,4391,4324,67,20,11,3,0,1,0,0,0,1,0,0,0,16,1,0,2,1,10,0,2,0,0,0,16,7,0,0,9,50,6,0,0,0,1,31,1,0,0,4,4,0,0,0,0,0,0,1,2,0,0
"Census Tract 9705","Census Tract 9705, Bennington County, Vermont","50003970500","140","00","50","003","16",,"970500",1302,1302,14.4843,89.8904550909116,90.52242,89.89046,0.631969,1302,1252,8,3,12,0,1,26,1302,1292,1243,8,3,12,0,0,26,10,9,0,0,0,0,1,0,1302,1292,10,0,1,0,0,1,0,1,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,4,1,2,0,1,12,1,0,0,0,0,3,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0
"Census Tract 9706","Census Tract 9706, Bennington County, Vermont","50003970600","140","00","50","003","16",,"970600",3084,3084,13.15268,234.476873251922,235.3572,234.4769,0.880301,3084,3016,5,1,11,1,4,46,3084,3045,2984,5,1,10,1,0,44,39,32,0,0,1,0,4,2,3084,3045,39,12,11,3,0,1,0,0,0,0,1,0,0,5,0,0,0,3,0,1,1,0,0,0,7,5,1,1,0,11,4,0,0,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"Census Tract 9707","Census Tract 9707, Bennington County, Vermont","50003970700","140","00","50","003","16",,"970700",2317,2317,54.8589,42.235627346536,42.42533,42.23563,0.1897013,2317,2251,8,5,16,1,2,34,2317,2299,2237,8,3,16,1,0,34,18,14,0,2,0,0,2,0,2317,2299,18,7,6,0,0,1,1,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,16,5,0,0,0,0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Census Tract 9708","Census Tract 9708, Bennington County, Vermont","50003970800","140","00","50","003","16",,"970800",3590,3590,83.32137,43.0861857275014,43.17819,43.08619,0.09200313,3590,3478,13,3,22,1,15,58,3590,3549,3457,13,2,21,0,0,56,41,21,0,1,1,1,15,2,3590,3549,41,15,12,4,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,3,22,5,0,0,0,0,8,2,0,1,0,5,0,0,0,0,0,0,0,1,0,0
"Census Tract 9709","Census Tract 9709, Bennington County, Vermont","50003970900","140","00","50","003","16",,"970900",2264,2264,236.2331,9.5837548282077,9.596639,9.583755,0.01288346,2264,2198,22,1,9,7,6,21,2264,2221,2169,15,1,9,7,0,20,43,29,7,0,0,0,6,1,2264,2221,43,3,31,1,4,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,9,1,0,0,0,0,4,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
"Census Tract 9710","Census Tract 9710, Bennington County, Vermont","50003971000","140","00","50","003","16",,"971000",3700,3700,167.8243,22.0468650820004,22.22967,22.04687,0.1828078,3700,3479,70,9,66,0,22,54,3700,3638,3441,68,8,65,0,6,50,62,38,2,1,1,0,16,4,3700,3638,62,17,12,6,0,9,0,8,1,0,0,0,0,8,0,0,0,5,1,0,1,0,1,0,10,3,0,0,7,66,5,0,0,0,1,23,5,0,0,4,6,0,0,1,1,1,0,0,14,0,5
"Census Tract 9711","Census Tract 9711, Bennington County, Vermont","50003971100","140","00","50","003","16",,"971100",4727,4727,528.6233,8.94209548461228,8.957244,8.942096,0.01514833,4727,4578,33,20,31,4,22,39,4727,4629,4521,32,19,29,3,0,25,98,57,1,1,2,1,22,14,4727,4629,98,17,40,5,1,5,0,0,4,0,1,0,0,16,1,1,0,4,2,0,1,0,4,3,14,5,2,2,5,31,14,0,0,0,1,7,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 9712","Census Tract 9712, Bennington County, Vermont","50003971200","140","00","50","003","16",,"971200",5073,5073,3025.53,1.67673132076288,1.718147,1.676731,0.04141564,5073,4858,62,22,24,2,17,88,5073,5002,4812,58,18,24,1,7,82,71,46,4,4,0,1,10,6,5073,5002,71,19,22,7,0,4,0,0,3,0,0,1,0,6,0,0,0,2,1,0,3,0,0,0,13,2,0,0,11,24,5,0,0,0,0,5,2,0,0,7,1,0,0,0,0,0,0,0,4,0,0
"Census Tract 9713","Census Tract 9713, Bennington County, Vermont","50003971300","140","00","50","003","16",,"971300",3527,3527,75.92023,46.4566538532225,46.72998,46.45665,0.2733314,3527,3452,12,16,10,0,8,29,3527,3493,3433,11,8,10,0,3,28,34,19,1,8,0,0,5,1,3527,3493,34,12,8,0,0,5,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,8,3,4,0,1,10,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,2,1,0,0
"Census Tract 9570","Census Tract 9570, Caledonia County, Vermont","50005957000","140","00","50","005","16",,"957000",4275,4275,21.5956,197.956994395341,199.639,197.957,1.682045,4275,4155,12,15,8,0,20,65,4275,4235,4134,8,13,8,0,11,61,40,21,4,2,0,0,9,4,4275,4235,40,11,12,2,0,5,0,4,1,0,0,0,0,3,0,0,1,1,1,0,0,0,0,0,7,4,0,0,3,8,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 9571","Census Tract 9571, Caledonia County, Vermont","50005957100","140","00","50","005","16",,"957100",2246,2246,38.54805,58.2649371348439,58.45202,58.26494,0.1870819,2246,2191,3,12,6,0,5,29,2246,2212,2167,1,10,6,0,2,26,34,24,2,2,0,0,3,3,2246,2212,34,11,8,2,0,0,0,0,0,0,0,0,0,9,6,0,0,1,0,1,0,0,0,1,4,4,0,0,0,6,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
"Census Tract 9572","Census Tract 9572, Caledonia County, Vermont","50005957200","140","00","50","005","16",,"957200",2646,2646,155.4044,17.0265437523263,17.2194,17.02654,0.1928573,2646,2573,5,7,25,0,7,29,2646,2618,2555,5,7,25,0,0,26,28,18,0,0,0,0,7,3,2646,2618,28,9,9,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0,2,0,4,25,0,0,0,0,1,14,1,0,1,4,2,1,0,0,0,0,0,1,0,0,0
"Census Tract 9573","Census Tract 9573, Caledonia County, Vermont","50005957300","140","00","50","005","16",,"957300",3335,3335,148.6307,22.4381626478578,22.60133,22.43816,0.1631637,3335,3138,30,14,91,0,12,50,3335,3287,3100,30,13,91,0,6,47,48,38,0,1,0,0,6,3,3335,3287,48,8,15,5,4,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,12,8,1,0,3,91,6,0,0,0,0,35,0,0,0,0,22,0,0,0,1,0,22,0,1,0,4
"Census Tract 9574","Census Tract 9574, Caledonia County, Vermont","50005957400","140","00","50","005","16",,"957400",3852,3852,210.0096,18.342018573059,18.50767,18.34202,0.1656483,3852,3651,47,25,55,0,16,58,3852,3787,3604,43,23,55,0,4,58,65,47,4,2,0,0,12,0,3852,3787,65,6,23,9,7,4,1,1,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,14,8,6,0,0,55,15,0,0,0,0,18,7,0,1,3,5,1,0,0,0,0,0,3,2,0,0
"Census Tract 9575","Census Tract 9575, Caledonia County, Vermont","50005957500","140","00","50","005","16",,"957500",3751,3751,207.8318,18.0482457833781,18.23687,18.04825,0.1886244,3751,3620,12,26,34,0,12,47,3751,3702,3583,11,24,34,0,4,46,49,37,1,2,0,0,8,1,3751,3702,49,6,27,0,1,3,0,0,2,0,0,1,0,3,2,0,0,1,0,0,0,0,0,0,9,5,1,0,3,32,2,0,0,0,1,10,0,0,0,1,8,0,0,0,0,0,3,1,6,0,0
"Census Tract 9576","Census Tract 9576, Caledonia County, Vermont","50005957600","140","00","50","005","16",,"957600",2196,2196,36.16433,60.7228265150263,61.13411,60.72283,0.4112872,2196,2147,6,1,10,0,6,26,2196,2186,2141,6,1,10,0,2,26,10,6,0,0,0,0,4,0,2196,2186,10,4,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,10,1,0,0,0,0,4,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0
"Census Tract 9577","Census Tract 9577, Caledonia County, Vermont","50005957700","140","00","50","005","16",,"957700",3010,3010,77.93832,38.6202839549836,39.01902,38.62029,0.398737,3010,2894,18,17,10,0,1,70,3010,2999,2884,18,17,10,0,1,69,11,10,0,0,0,0,0,1,3010,2999,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,4,10,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0
"Census Tract 9578","Census Tract 9578, Caledonia County, Vermont","50005957800","140","00","50","005","16",,"957800",2928,2928,21.39194,136.873999416214,139.4089,136.874,2.534921,2928,2858,10,8,3,1,9,39,2928,2906,2844,7,6,3,1,7,38,22,14,3,2,0,0,2,1,2928,2906,22,6,4,4,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,5,3,1,0,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Census Tract 9579","Census Tract 9579, Caledonia County, Vermont","50005957900","140","00","50","005","16",,"957900",2988,2988,37.08591,80.5696767707032,83.31817,80.56968,2.748495,2988,2911,24,13,9,0,4,27,2988,2964,2897,21,13,9,0,2,22,24,14,3,0,0,0,2,5,2988,2964,24,8,5,4,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,9,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"Census Tract 1","Census Tract 1, Chittenden County, Vermont","50007000100","140","00","50","007","18",,"000100",4580,4580,3436.918,1.3325891857414,1.477455,1.332589,0.1448659,4580,3948,215,12,248,2,26,129,4580,4492,3901,208,10,248,2,7,116,88,47,7,2,0,0,19,13,4580,4492,88,15,30,4,9,7,1,3,0,1,2,0,0,10,2,0,0,4,1,0,3,0,0,0,13,6,1,0,6,245,9,0,4,3,3,50,3,0,0,7,10,11,1,4,0,0,0,3,133,0,4
"Census Tract 2","Census Tract 2, Chittenden County, Vermont","50007000200","140","00","50","007","18",,"000200",5625,5625,2398.84,2.34488345119746,7.15613,2.344883,4.811246,5625,5206,147,8,142,4,22,96,5625,5525,5145,141,4,140,4,5,86,100,61,6,4,2,0,17,10,5625,5525,100,15,24,6,1,12,3,2,4,1,2,0,0,27,0,0,0,19,1,1,5,0,1,0,15,5,5,0,5,136,2,0,0,0,1,20,11,0,0,2,11,0,0,0,0,6,1,5,72,0,5
"Census Tract 3","Census Tract 3, Chittenden County, Vermont","50007000300","140","00","50","007","18",,"000300",3399,3399,1554.796,2.18613870025653,2.345022,2.186139,0.1588838,3399,2624,337,12,273,3,16,134,3399,3315,2586,319,10,273,3,7,117,84,38,18,2,0,0,9,17,3399,3315,84,18,22,1,7,13,2,0,1,9,0,1,0,5,1,0,0,1,0,0,3,0,0,0,18,7,4,0,7,265,17,0,65,26,0,19,5,0,0,1,3,0,0,14,0,0,0,2,105,0,8
"Census Tract 4","Census Tract 4, Chittenden County, Vermont","50007000400","140","00","50","007","18",,"000400",3148,3148,17662.63,0.17822939720184,0.1782294,0.1782294,0,3148,2546,225,16,215,2,31,113,3148,3042,2489,214,15,215,2,4,103,106,57,11,1,0,0,27,10,3148,3042,106,25,24,8,7,18,1,9,0,0,5,3,0,10,0,0,2,1,1,0,1,0,5,0,14,1,0,0,13,189,11,0,67,27,0,21,3,0,0,0,6,3,0,19,0,0,0,2,19,0,11
"Census Tract 5","Census Tract 5, Chittenden County, Vermont","50007000500","140","00","50","007","18",,"000500",4211,4211,20105.85,0.209441510925919,0.2094415,0.2094415,0,4211,3894,89,15,96,3,38,76,4211,4086,3816,84,12,95,2,11,66,125,78,5,3,1,1,27,10,4211,4086,125,29,23,7,10,8,1,1,3,0,2,1,0,29,3,0,2,7,4,3,7,1,2,0,19,5,7,0,7,91,17,0,3,4,1,23,5,0,0,5,12,0,0,0,1,1,1,1,15,0,2
"Census Tract 6","Census Tract 6, Chittenden County, Vermont","50007000600","140","00","50","007","18",,"000600",5169,5169,5975.042,0.865098602773449,0.9219108,0.8650986,0.05681223,5169,4721,135,11,146,1,30,125,5169,5035,4625,129,11,146,1,8,115,134,96,6,0,0,0,22,10,5169,5035,134,21,28,15,4,13,2,2,1,1,5,2,0,31,4,0,5,5,9,1,3,2,1,1,22,10,1,0,11,144,37,4,0,6,0,28,8,0,0,7,17,1,1,11,1,1,2,2,11,0,7
"Census Tract 8","Census Tract 8, Chittenden County, Vermont","50007000800","140","00","50","007","18",,"000800",2454,2454,4709.46,0.521078862141446,0.5210789,0.5210789,0,2454,2276,41,7,57,0,10,63,2454,2382,2224,40,5,55,0,3,55,72,52,1,2,2,0,7,8,2454,2382,72,24,12,4,3,7,1,3,0,2,0,1,0,13,2,1,0,5,0,0,4,0,1,0,9,5,1,0,3,57,8,0,0,0,1,8,6,0,0,3,8,3,0,11,2,0,0,0,4,0,3
"Census Tract 9","Census Tract 9, Chittenden County, Vermont","50007000900","140","00","50","007","18",,"000900",2839,2839,12204.88,0.232611888549291,0.2326119,0.2326119,0,2839,2667,58,9,44,2,8,51,2839,2786,2626,57,8,44,2,2,47,53,41,1,1,0,0,6,4,2839,2786,53,14,11,6,3,2,0,0,1,0,1,0,0,10,2,0,0,2,0,0,2,1,3,0,7,3,1,0,3,44,4,0,0,0,1,4,0,0,0,4,6,0,1,1,1,0,2,3,10,0,7
"Census Tract 10","Census Tract 10, Chittenden County, Vermont","50007001000","140","00","50","007","18",,"001000",2371,2371,3489.919,0.679385387113763,0.6910874,0.6793854,0.01170198,2371,1985,187,26,65,1,11,96,2371,2295,1934,181,24,65,1,4,86,76,51,6,2,0,0,7,10,2371,2295,76,14,18,6,4,8,1,2,5,0,0,0,0,13,1,1,2,5,2,0,0,0,2,0,13,5,0,0,8,63,10,0,9,4,0,15,3,0,0,1,4,0,0,0,0,1,0,5,10,1,0
"Census Tract 11","Census Tract 11, Chittenden County, Vermont","50007001100","140","00","50","007","18",,"001100",2421,2421,3611.312,0.670393453560403,0.6703935,0.6703935,0,2421,2186,94,7,49,2,20,63,2421,2346,2151,92,7,45,2,3,46,75,35,2,0,4,0,17,17,2421,2346,75,18,13,6,1,10,2,6,0,0,0,2,0,7,1,0,0,3,0,0,2,0,1,0,20,2,3,0,15,49,6,0,0,0,1,11,9,0,0,5,4,0,0,0,0,3,4,0,6,0,0
"Census Tract 21.01","Census Tract 21.01, Chittenden County, Vermont","50007002101","140","00","50","007","18",,"002101",2823,2823,113.3092,24.9141200654212,33.62439,24.91412,8.710267,2823,2744,9,5,12,0,3,50,2823,2802,2728,9,4,12,0,2,47,21,16,0,1,0,0,1,3,2823,2802,21,6,8,2,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,12,1,0,0,0,0,5,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Census Tract 21.02","Census Tract 21.02, Chittenden County, Vermont","50007002102","140","00","50","007","18",,"002102",7529,7529,284.4769,26.4661241673707,27.26981,26.46612,0.8036856,7529,7285,59,28,45,2,5,105,7529,7482,7248,59,27,45,2,0,101,47,37,0,1,0,0,5,4,7529,7482,47,16,9,0,0,2,0,2,0,0,0,0,0,4,0,0,0,1,2,0,1,0,0,0,16,3,4,0,9,45,9,0,0,0,0,8,9,0,0,1,1,5,0,0,0,0,0,0,10,0,2
"Census Tract 22","Census Tract 22, Chittenden County, Vermont","50007002200","140","00","50","007","18",,"002200",8314,8314,425.7649,19.5272070758629,19.93748,19.52721,0.410278,8314,7716,148,24,263,4,33,126,8314,8169,7620,140,24,263,3,3,116,145,96,8,0,0,1,30,10,8314,8169,145,37,35,8,9,8,0,0,2,2,3,1,0,26,2,0,1,7,3,2,6,4,1,0,22,6,4,0,12,257,39,0,3,0,2,122,8,0,1,7,27,1,0,0,3,2,1,5,34,0,2
"Census Tract 23.01","Census Tract 23.01, Chittenden County, Vermont","50007002301","140","00","50","007","18",,"002301",2210,2210,343.7718,6.42868345335963,12.47165,6.428683,6.042971,2210,2126,17,10,21,1,2,33,2210,2165,2088,17,8,21,1,0,30,45,38,0,2,0,0,2,3,2210,2165,45,14,4,0,0,5,2,2,0,0,1,0,0,5,4,0,1,0,0,0,0,0,0,0,17,12,0,0,5,21,5,0,0,0,4,3,1,0,0,1,5,0,0,0,0,0,0,0,2,0,0
"Census Tract 23.02","Census Tract 23.02, Chittenden County, Vermont","50007002302","140","00","50","007","18",,"002302",6543,6543,631.0499,10.3684356838719,26.16192,10.36844,15.79349,6543,6306,45,14,75,1,15,87,6543,6463,6252,43,10,74,1,2,81,80,54,2,4,1,0,13,6,6543,6463,80,38,6,9,0,5,2,0,0,1,0,2,0,5,0,0,0,2,1,0,1,0,1,0,17,11,0,0,6,75,2,3,0,0,0,7,8,0,0,8,10,0,0,0,8,0,0,0,27,0,2
"Census Tract 24","Census Tract 24, Chittenden County, Vermont","50007002400","140","00","50","007","18",,"002400",3241,3241,5543.636,0.584634368962327,0.5853977,0.5846344,0.000763324,3241,2588,258,15,222,0,22,136,3241,3181,2559,255,15,222,0,6,124,60,29,3,0,0,0,16,12,3241,3181,60,13,15,5,1,7,0,0,1,5,0,1,0,9,0,0,0,1,0,0,4,4,0,0,10,1,0,0,9,222,22,4,53,14,1,10,2,0,0,2,10,3,0,26,0,0,0,2,71,0,2
"Census Tract 25","Census Tract 25, Chittenden County, Vermont","50007002500","140","00","50","007","18",,"002500",4026,4026,4764.39,0.845018973060879,0.9237904,0.845019,0.0787714,4026,3418,240,10,225,1,25,107,4026,3924,3364,221,10,224,1,10,94,102,54,19,0,1,0,15,13,4026,3924,102,24,34,5,8,6,4,0,0,0,1,1,0,8,1,0,1,1,0,1,2,0,1,1,17,8,0,0,9,221,12,1,29,15,0,23,3,0,0,30,11,4,1,7,1,0,2,1,77,0,4
"Census Tract 26.01","Census Tract 26.01, Chittenden County, Vermont","50007002601","140","00","50","007","18",,"002601",5188,5188,1738.121,2.98483313436201,3.076382,2.984833,0.09154908,5188,4742,90,25,207,1,31,92,5188,5090,4677,86,24,207,1,14,81,98,65,4,1,0,0,17,11,5188,5090,98,21,23,6,7,9,1,5,2,0,0,1,0,11,0,0,0,4,3,0,4,0,0,0,21,7,3,0,11,201,61,7,0,0,0,51,8,0,0,5,22,0,0,0,5,0,0,1,38,0,3
